,Bull code/number,Age,AgeYear,DentalAge,AgeNumber,AgeCategory,Year,Model,Megapixels,Aperture,ShutterSpeed,ISO,FocalLength,Quality,WhiteBalance,Season,Month,Day,Date,Time,AgeClass,Head.Girth,Head.Height,Tusk.Side,Tusk.Length,Tusk.Circumference,Tusk.Shape,Tusk.Missing,Tusk.Breakage,Tusk.Arrangement,Body.Width,Shoulder.Height,Foot.Circumference,Musth.Period,Musth.Signs,Anatomy.not.visible,Anatomy.not.visible.binary,Blurred.Image,Visible.Injury,Body.Condition.Score,Ratio.bodyheight.to.bodywidth,Ratio.bodywith.to.bodyheight,Ratio.tusklength.bodywidth,Ratio.tusklength.bodyheight,Ratio.tuskcircumference.bodywidth,Ratio.tuskcircumference.bodyheight,Ratio.foot.to.bodywidth,Ratio.foot.to.bodyheight,Ratio.tusklength.to.foot,Ratio.tuskcircumference.to.foot,Ratio.tusk.circumference.to.tusk.length,Ratio.bodyheight.to.bodywidth2,Ratio.bodywith.to.bodyheight2,Ratio.tusklength.bodywidth2,Ratio.tusklength.bodyheight2,Ratio.tuskcircumference.bodywidth2,Ratio.tuskcircumference.bodyheight2,Ratio.foot.to.bodywidth2,Ratio.foot.to.bodyheight2,Ratio.tusklength.to.foot2,Ratio.tuskcircumference.to.foot2,Ratio.tusk.circumference.to.tusk.length2,Ratio.tusk.length.to.head.height,Ratio.tusk.circumference.to.head.height,Ratio.tusk.length.to.head.girth,Ratio.tusk.circumference.to.head.girth,Ratio.tusk.length.to.circumference
1,1,20,2004,17,2,young adult,2005,C750UZ,3.9,3.7,0,50,63,Normal,Auto,dry,5,2,5/2/2005,14:23:51,Young,90.51,145.24,right,144.75,24.41,upcurved,0,0,NA,704.25,NA,NA,NA,NA,foot,0,0,0,3,NA,NA,0.205537806,NA,0.034660987,NA,NA,NA,NA,NA,0.168635579,NA,NA,0.152537806,NA,0.021660987,NA,NA,NA,NA,NA,0.144635579,0.996626274,0.168066648,1.599270799,0.269693956,5.929946743
2,1,20,2004,16,2,young adult,2004,C750UZ,3.9,4,0,50,18.5,Normal,Auto,wet,11,13,11/13/2004,12:38:50,Young,222.04,286.54,right,256.28,51.09,upcurved,0,0,higher left,1177.49,NA,NA,NA,NA,foot,0,0,0,4,NA,NA,0.217649407,NA,0.043388904,NA,NA,NA,NA,NA,0.199352271,NA,NA,0.164649407,NA,0.030388904,NA,NA,NA,NA,NA,0.175352271,0.894395198,0.178299714,1.154206449,0.230093677,5.016245841
3,1,20,2004,20,2,young adult,2008,FinePix S5600,5,6.4,0,200,63,Normal,Cloudy,dry,6,22,6/22/2008,11:17:20,Young,297.13,354.95,left,277.6,64.07,upcurved,0,0,parallel,NA,1862.15,336.91,non-musth,NA,anal flap,0,0,0,NA,NA,NA,NA,0.149074994,NA,0.034406466,NA,0.180925275,0.823958921,0.190169481,0.230799712,NA,NA,NA,0.129074994,NA,0.032406466,NA,0.169925275,0.564958921,0.177169481,0.206799712,0.782081983,0.180504296,0.934271194,0.215629522,4.332761043
4,1,20,2004,16,2,young adult,2004,C750UZ,3.9,3.2,0,50,34.7,Normal,Auto,wet,11,13,11/13/2004,12:37:37,Young,86.27,244.99,right,249.78,44.41,upcurved,0,0,NA,1179.83,1330.25,226.23,NA,NA,NA,0,0,0,4,1.127492944,0.886923511,0.211708466,0.187769216,0.037641016,0.033384702,0.191747964,0.170065777,1.1040976,0.196304646,0.177796461,0.864492944,0.665923511,0.158708466,0.167769216,0.024641016,0.031384702,0.137747964,0.159065777,0.8450976,0.183304646,0.153796461,1.019551818,0.181272705,2.895328619,0.514779182,5.624408917
5,1,20,2004,17,2,young adult,2005,C740UZ,3.1,3.7,0,64,63,Normal,Auto,dry,5,2,5/2/2005,14:22:19,Young,74.69,185.13,right,188.11,33.65,upcurved,0,0,NA,NA,1005.54,181.09,non-musth,NA,anal flap,0,0,0,3,NA,NA,NA,0.187073612,NA,0.033464606,NA,0.180092289,1.038765255,0.185819206,0.178884695,NA,NA,NA,0.167073612,NA,0.031464606,NA,0.169092289,0.779765255,0.172819206,0.154884695,1.016096797,0.181764166,2.518543312,0.450528853,5.590193165
6,1,20,2004,17,2,young adult,2005,C750UZ,3.9,3.7,0,91,63,Normal,Auto,dry,5,7,5/7/2005,9:13:49,Young,61.6,133.37,right,136.54,24.27,upcurved,0,0,NA,636.97,704.29,120.26,non-musth,NA,NA,0,0,0,3,1.105687866,0.904414375,0.214358604,0.193869003,0.038102265,0.034460237,0.1888001,0.170753525,1.135373358,0.201812739,0.17775011,0.842687866,0.683414375,0.161358604,0.173869003,0.025102265,0.032460237,0.1348001,0.159753525,0.876373358,0.188812739,0.15375011,1.023768464,0.181974957,2.216558442,0.393993506,5.625875567
7,1,20,2004,16,2,young adult,2004,C750UZ,3.9,4,0,50,17.5,Normal,Auto,wet,11,13,11/13/2004,12:39:22,Young,200.8,266.27,right,253.65,48.47,upcurved,0,0,higher left,1123.26,1399.13,249.66,NA,NA,NA,0,0,0,4,1.245597635,0.802827471,0.225815929,0.181291231,0.043151185,0.034642957,0.222263768,0.178439459,1.015981735,0.194144036,0.191090085,0.982597635,0.581827471,0.172815929,0.161291231,0.030151185,0.032642957,0.168263768,0.167439459,0.756981735,0.181144036,0.167090085,0.952604499,0.182033274,1.263197211,0.241384462,5.233133897
8,1,20,2004,17,2,young adult,2005,C750UZ,3.9,3.7,0,80,63,Normal,Auto,dry,5,7,5/7/2005,9:12:54,Young,40.31,202.24,right,192.56,37.73,upcurved,0,0,NA,845.45,NA,NA,non-musth,NA,foot,0,0,0,4,NA,NA,0.227760364,NA,0.044627122,NA,NA,NA,NA,NA,0.195938928,NA,NA,0.174760364,NA,0.031627122,NA,NA,NA,NA,NA,0.171938928,0.952136076,0.186560522,4.776978417,0.935996031,5.103631063
9,1,20,2004,16,2,young adult,2004,C740UZ,3.1,3.7,0,116,63,Normal,Auto,wet,11,2,11/2/2004,14:00,Young,85.62,258.06,right,270.43,48.28,upcurved,0,0,NA,1155.83,NA,NA,non-musth,NA,foot,0,0,0,4,NA,NA,0.233970394,NA,0.041770849,NA,NA,NA,NA,NA,0.178530488,NA,NA,0.180970394,NA,0.028770849,NA,NA,NA,NA,NA,0.154530488,1.047934589,0.187088274,3.158491007,0.563886942,5.601284176
10,1,20,2004,16,2,young adult,2004,C740UZ,3.1,3.7,0,81,63,Normal,Auto,wet,11,2,11/2/2004,14:00,Young,87.57,253.17,right,270.6,48.33,upcurved,0,0,NA,1130.91,NA,NA,non-musth,NA,foot,0,0,0,4,NA,NA,0.239276335,NA,0.042735496,NA,NA,NA,NA,NA,0.178603104,NA,NA,0.186276335,NA,0.029735496,NA,NA,NA,NA,NA,0.154603104,1.06884702,0.190899396,3.090099349,0.551901336,5.599006828
