"accession","length","host","segment","serotype","country","region","date","name","mutations","age","gender","lineage","vac_strain","fulllength_plus"
"MF195745","1771","Human","4 (HA)","","Canada","N","2016/01/04","Influenza B virus (B/Alberta/001/2016)","","","","","","c"
"MH216549","1752","Human","4 (HA)","","Canada","N","2017/01/11","Influenza B virus (B/Alberta/001/2017)","","","","","","nc"
"MG910749","1752","Human","4 (HA)","","Canada","N","2018/01/02","Influenza B virus (B/Alberta/001/2018)","","","","","","nc"
"MF195746","1773","Human","4 (HA)","","Canada","N","2016/01/08","Influenza B virus (B/Alberta/002/2016)","","","","","","c"
"MH216550","1755","Human","4 (HA)","","Canada","N","2017/02/01","Influenza B virus (B/Alberta/002/2017)","","","","","","nc"
"MF195747","1758","Human","4 (HA)","","Canada","N","2016/01/12","Influenza B virus (B/Alberta/004/2016)","","","","","","c"
"MH216552","1755","Human","4 (HA)","","Canada","N","2017/04/25","Influenza B virus (B/Alberta/004/2017)","","","","","","nc"
"MF195748","1771","Human","4 (HA)","","Canada","N","2016/01/19","Influenza B virus (B/Alberta/005/2016)","","","","","","c"
"MH216553","1752","Human","4 (HA)","","Canada","N","2017/02/14","Influenza B virus (B/Alberta/005/2017)","","","","","","nc"
"MG910751","1752","Human","4 (HA)","","Canada","N","2018/01/09","Influenza B virus (B/Alberta/005/2018)","","","","","","nc"
"MF195749","1774","Human","4 (HA)","","Canada","N","2016/01/20","Influenza B virus (B/Alberta/006/2016)","","","","","","c"
"MH216554","1752","Human","4 (HA)","","Canada","N","2017/03/13","Influenza B virus (B/Alberta/006/2017)","","","","","","nc"
"MF195750","1758","Human","4 (HA)","","Canada","N","2016/01/21","Influenza B virus (B/Alberta/007/2016)","","","","","","c"
"MH216555","1752","Human","4 (HA)","","Canada","N","2017/03/16","Influenza B virus (B/Alberta/007/2017)","","","","","","nc"
"MG910753","1752","Human","4 (HA)","","Canada","N","2018/01/10","Influenza B virus (B/Alberta/007/2018)","","","","","","nc"
"MF195751","1773","Human","4 (HA)","","Canada","N","2016/01/25","Influenza B virus (B/Alberta/008/2016)","","","","","","c"
"MG910754","1752","Human","4 (HA)","","Canada","N","2018/01/10","Influenza B virus (B/Alberta/008/2018)","","","","","","nc"
"MF195752","1774","Human","4 (HA)","","Canada","N","2016/01/25","Influenza B virus (B/Alberta/009/2016)","","","","","","c"
