"accession","length","host","protein","serotype","country","region","date","name","mutations","age","gender","lineage","vac_strain","fulllength_plus"
"ABP49327","566","Human","HA","H1N1","USA","N","1945","Influenza A virus (A/AA/Huston/1945(H1N1))","","","","","","c"
"ABP49328","252","Human","M1","H1N1","USA","N","1945","Influenza A virus (A/AA/Huston/1945(H1N1))","S31N","","","","","c"
"ABP49330","469","Human","NA","H1N1","USA","N","1945","Influenza A virus (A/AA/Huston/1945(H1N1))","","","","","","c"
"ABP49331","498","Human","NP","H1N1","USA","N","1945","Influenza A virus (A/AA/Huston/1945(H1N1))","","","","","","c"
"ABP49332","230","Human","NS1","H1N1","USA","N","1945","Influenza A virus (A/AA/Huston/1945(H1N1))","","","","","","c"
"ABP49334","716","Human","PA","H1N1","USA","N","1945","Influenza A virus (A/AA/Huston/1945(H1N1))","","","","","","c"
"ABP49335","757","Human","PB1","H1N1","USA","N","1945","Influenza A virus (A/AA/Huston/1945(H1N1))","","","","","","c"
"ABP49337","759","Human","PB2","H1N1","USA","N","1945","Influenza A virus (A/AA/Huston/1945(H1N1))","E627K","","","","","c"
"ABO38054","566","Human","HA","H1N1","USA","N","1943","Influenza A virus (A/AA/Marton/1943(H1N1))","","","","","","c"
"ABO38055","252","Human","M1","H1N1","USA","N","1943","Influenza A virus (A/AA/Marton/1943(H1N1))","","","","","","c"
"ABO38056","97","Human","M2","H1N1","USA","N","1943","Influenza A virus (A/AA/Marton/1943(H1N1))","","","","","","c"
"ABO38057","469","Human","NA","H1N1","USA","N","1943","Influenza A virus (A/AA/Marton/1943(H1N1))","","","","","","c"
"ABO38058","498","Human","NP","H1N1","USA","N","1943","Influenza A virus (A/AA/Marton/1943(H1N1))","","","","","","c"
"ABO38059","230","Human","NS1","H1N1","USA","N","1943","Influenza A virus (A/AA/Marton/1943(H1N1))","","","","","","c"
"ABO38061","716","Human","PA","H1N1","USA","N","1943","Influenza A virus (A/AA/Marton/1943(H1N1))","","","","","","c"
"ABO38062","757","Human","PB1","H1N1","USA","N","1943","Influenza A virus (A/AA/Marton/1943(H1N1))","","","","","","c"
"ABO38063","90","Human","PB1-F2","H1N1","USA","N","1943","Influenza A virus (A/AA/Marton/1943(H1N1))","","","","","","c"
"ABO38064","759","Human","PB2","H1N1","USA","N","1943","Influenza A virus (A/AA/Marton/1943(H1N1))","E627K","","","","","c"
"ABQ53724","469","Human","NA","H3N2","USA","N","1998","Influenza A virus (A/Alabama/01/1998(H3N2))","","","","","","c"
"AGI53223","97","Human","M2","H1N1","USA","N","2010/01/04","Influenza A virus (A/Alabama/01/2010(H1N1))","S31N","","","","","c"
"AGI53225","566","Human","HA","H1N1","USA","N","2010/01/04","Influenza A virus (A/Alabama/01/2010(H1N1))","","","","","","c"
"AGI54943","219","Human","NS1","H1N1","USA","N","2010/01/04","Influenza A virus (A/Alabama/01/2010(H1N1))","","","","","","c"
"AGK74268","469","Human","NA","H3N2","USA","N","2011/01/05","Influenza A virus (A/Alabama/01/2011(H3N2))","","","","","","c"
"ALH33183","90","Human","PB1-F2","H3N2","USA","N","2015/01/06","Influenza A virus (A/Alabama/01/2015(H3N2))","","","","","","c"
"ALH33303","716","Human","PA","H3N2","USA","N","2015/01/06","Influenza A virus (A/Alabama/01/2015(H3N2))","","","","","","c"
"ALH33304","252","Human","PA-X","H3N2","USA","N","2015/01/06","Influenza A virus (A/Alabama/01/2015(H3N2))","","","","","","c"
"ALH33400","97","Human","M2","H3N2","USA","N","2015/01/06","Influenza A virus (A/Alabama/01/2015(H3N2))","S31N","","","","","c"
