"accession","length","host","segment","serotype","country","region","date","name","mutations","age","gender","lineage","vac_strain","fulllength_plus"
"JQ767135","1687","Human","4 (HA)","H3N2","Canada","N","2010/11/19","Influenza A virus (A/Alberta/001/2010(H3N2))","","","","","","p"
"KF586728","1688","Human","4 (HA)","H3N2","Canada","N","2012/01/03","Influenza A virus (A/Alberta/001/2012(H3N2))","","","","","","p"
"JQ767136","1682","Human","4 (HA)","H3N2","Canada","N","2010/12/08","Influenza A virus (A/Alberta/002/2010(H3N2))","","","","","","p"
"KF586729","1687","Human","4 (HA)","H3N2","Canada","N","2012/01/09","Influenza A virus (A/Alberta/002/2012(H3N2))","","","","","","p"
"MG889598","1698","Human","4 (HA)","H3N2","Canada","N","2018/01/03","Influenza A virus (A/Alberta/002/2018(H3N2))","","","","","","nc"
"JQ767137","1672","Human","4 (HA)","H3N2","Canada","N","2010/12/18","Influenza A virus (A/Alberta/003/2010(H3N2))","","","","","","p"
"KF586730","1682","Human","4 (HA)","H3N2","Canada","N","2012/01/10","Influenza A virus (A/Alberta/003/2012(H3N2))","","","","","","p"
"KY583539","1701","Human","4 (HA)","H3N2","Canada","N","2017/01/02","Influenza A virus (A/Alberta/003/2017(H3N2))","","","","","","c"
"JQ767138","1642","Human","4 (HA)","H3N2","Canada","N","2011/01/06","Influenza A virus (A/Alberta/004/2011(H3N2))","","","","","","p"
"KF586731","1689","Human","4 (HA)","H3N2","Canada","N","2012/01/14","Influenza A virus (A/Alberta/004/2012(H3N2))","","","","","","p"
"KY583534","1701","Human","4 (HA)","H3N2","Canada","N","2017/01/03","Influenza A virus (A/Alberta/004/2017(H3N2))","","","","","","c"
"MN538394","1701","Human","4 (HA)","H3N2","Canada","N","2018/01/06","Influenza A virus (A/Alberta/004/2018)","","","","","","c"
"JQ767139","1677","Human","4 (HA)","H3N2","Canada","N","2011/01/07","Influenza A virus (A/Alberta/005/2011(H3N2))","","","","","","p"
"KF586732","1688","Human","4 (HA)","H3N2","Canada","N","2012/01/19","Influenza A virus (A/Alberta/005/2012(H3N2))","","","","","","p"
"KY583510","1701","Human","4 (HA)","H3N2","Canada","N","2017/01/05","Influenza A virus (A/Alberta/005/2017(H3N2))","","","","","","c"
