"accession","length","host","segment","serotype","country","region","date","name","mutations","age","gender","lineage","vac_strain","fulllength_plus"
"CY090837","1752","Human","4 (HA)","H1N1","Nicaragua","T","2010/03/23","Influenza A virus (A/Managua/0305_10/2010(H1N1))","","","","","","c"
"CY090838","1002","Human","7 (MP)","H1N1","Nicaragua","T","2010/03/23","Influenza A virus (A/Managua/0305_10/2010(H1N1))","S31N","","","","","c"
"CY090839","1432","Human","6 (NA)","H1N1","Nicaragua","T","2010/03/23","Influenza A virus (A/Managua/0305_10/2010(H1N1))","","","","","","c"
"CY090840","1538","Human","5 (NP)","H1N1","Nicaragua","T","2010/03/23","Influenza A virus (A/Managua/0305_10/2010(H1N1))","","","","","","c"
"CY090841","863","Human","8 (NS)","H1N1","Nicaragua","T","2010/03/23","Influenza A virus (A/Managua/0305_10/2010(H1N1))","","","","","","c"
"CY090842","2204","Human","3 (PA)","H1N1","Nicaragua","T","2010/03/23","Influenza A virus (A/Managua/0305_10/2010(H1N1))","","","","","","c"
"CY090843","2309","Human","2 (PB1)","H1N1","Nicaragua","T","2010/03/23","Influenza A virus (A/Managua/0305_10/2010(H1N1))","","","","","","c"
"CY090844","2316","Human","1 (PB2)","H1N1","Nicaragua","T","2010/03/23","Influenza A virus (A/Managua/0305_10/2010(H1N1))","","","","","","c"
"CY044154","2151","Human","3 (PA)","H1N1","Nicaragua","T","2009/06/26","Influenza A virus (A/Managua/0536N/2009(H1N1))","","23","","","","c"
"CY044157","1410","Human","6 (NA)","H1N1","Nicaragua","T","2009/06/26","Influenza A virus (A/Managua/0536N/2009(H1N1))","","23","","","","c"
"CY044158","982","Human","7 (MP)","H1N1","Nicaragua","T","2009/06/26","Influenza A virus (A/Managua/0536N/2009(H1N1))","S31N","23","","","","c"
"CY072998","1734","Human","4 (HA)","H1N1","Nicaragua","T","2010/02/03","Influenza A virus (A/Managua/07193_09/2010(H1N1))","","","","","","c"
"CY072999","987","Human","7 (MP)","H1N1","Nicaragua","T","2010/02/03","Influenza A virus (A/Managua/07193_09/2010(H1N1))","S31N","","","","","c"
"CY073000","1420","Human","6 (NA)","H1N1","Nicaragua","T","2010/02/03","Influenza A virus (A/Managua/07193_09/2010(H1N1))","","","","","","c"
"CY073001","1523","Human","5 (NP)","H1N1","Nicaragua","T","2010/02/03","Influenza A virus (A/Managua/07193_09/2010(H1N1))","","","","","","c"
"CY073002","850","Human","8 (NS)","H1N1","Nicaragua","T","2010/02/03","Influenza A virus (A/Managua/07193_09/2010(H1N1))","","","","","","c"
"CY073003","2175","Human","3 (PA)","H1N1","Nicaragua","T","2010/02/03","Influenza A virus (A/Managua/07193_09/2010(H1N1))","","","","","","c"
"CY073004","2303","Human","2 (PB1)","H1N1","Nicaragua","T","2010/02/03","Influenza A virus (A/Managua/07193_09/2010(H1N1))","","","","","","c"
"CY073005","2293","Human","1 (PB2)","H1N1","Nicaragua","T","2010/02/03","Influenza A virus (A/Managua/07193_09/2010(H1N1))","","","","","","c"
"CY040186","1722","Human","4 (HA)","H1N1","Nicaragua","T","2008/06/08","Influenza A virus (A/Managua/1038.01/2008(H1N1))","","6","","","","c"
"CY040187","982","Human","7 (MP)","H1N1","Nicaragua","T","2008/06/08","Influenza A virus (A/Managua/1038.01/2008(H1N1))","","6","","","","c"
"CY040188","1422","Human","6 (NA)","H1N1","Nicaragua","T","2008/06/08","Influenza A virus (A/Managua/1038.01/2008(H1N1))","","6","","","","c"
"CY040189","1500","Human","5 (NP)","H1N1","Nicaragua","T","2008/06/08","Influenza A virus (A/Managua/1038.01/2008(H1N1))","","6","","","","c"
"CY040190","844","Human","8 (NS)","H1N1","Nicaragua","T","2008/06/08","Influenza A virus (A/Managua/1038.01/2008(H1N1))","","6","","","","c"
"CY040191","2167","Human","3 (PA)","H1N1","Nicaragua","T","2008/06/08","Influenza A virus (A/Managua/1038.01/2008(H1N1))","","6","","","","c"
"CY040192","2300","Human","2 (PB1)","H1N1","Nicaragua","T","2008/06/08","Influenza A virus (A/Managua/1038.01/2008(H1N1))","","6","","","","c"
"CY040193","2292","Human","1 (PB2)","H1N1","Nicaragua","T","2008/06/08","Influenza A virus (A/Managua/1038.01/2008(H1N1))","E627K","6","","","","c"
"CY072670","1734","Human","4 (HA)","H1N1","Nicaragua","T","2009/08/16","Influenza A virus (A/Managua/1054.02/2009(H1N1))","","","","","","c"
"CY072671","987","Human","7 (MP)","H1N1","Nicaragua","T","2009/08/16","Influenza A virus (A/Managua/1054.02/2009(H1N1))","S31N","","","","","c"
"CY072672","1420","Human","6 (NA)","H1N1","Nicaragua","T","2009/08/16","Influenza A virus (A/Managua/1054.02/2009(H1N1))","","","","","","c"
"CY072676","2303","Human","2 (PB1)","H1N1","Nicaragua","T","2009/08/16","Influenza A virus (A/Managua/1054.02/2009(H1N1))","","","","","","c"
