"accession","length","host","segment","serotype","country","region","date","name","mutations","age","gender","lineage","vac_strain","fulllength_plus"
"CY101021","1153","Human","7 (MP)","","Nicaragua","T","2010/07/29","Influenza B virus (B/Managua/1017.03/2010)","","","","","","c"
"CY101023","1762","Human","5 (NP)","","Nicaragua","T","2010/07/29","Influenza B virus (B/Managua/1017.03/2010)","","","","","","c"
"CY101024","1064","Human","8 (NS)","","Nicaragua","T","2010/07/29","Influenza B virus (B/Managua/1017.03/2010)","","","","","","c"
"CY101027","2358","Human","2 (PB2)","","Nicaragua","T","2010/07/29","Influenza B virus (B/Managua/1017.03/2010)","","","","","","c"
"CY124958","1528","Human","6 (NA)","","Nicaragua","T","2008/07/16","Influenza B virus (B/Managua/1089.01/2008)","","","","","","c"
"CY124959","1815","Human","5 (NP)","","Nicaragua","T","2008/07/16","Influenza B virus (B/Managua/1089.01/2008)","","","","","","c"
"CY124963","2353","Human","2 (PB2)","","Nicaragua","T","2008/07/16","Influenza B virus (B/Managua/1089.01/2008)","","","","","","c"
"CY099785","1794","Human","4 (HA)","","Nicaragua","T","2010/07/08","Influenza B virus (B/Managua/1250.02/2010)","","","","","","c"
"CY099786","1153","Human","7 (MP)","","Nicaragua","T","2010/07/08","Influenza B virus (B/Managua/1250.02/2010)","","","","","","c"
"CY099787","1512","Human","6 (NA)","","Nicaragua","T","2010/07/08","Influenza B virus (B/Managua/1250.02/2010)","","","","","","c"
"CY099789","1065","Human","8 (NS)","","Nicaragua","T","2010/07/08","Influenza B virus (B/Managua/1250.02/2010)","","","","","","c"
"CY099790","2258","Human","3 (PA)","","Nicaragua","T","2010/07/08","Influenza B virus (B/Managua/1250.02/2010)","","","","","","c"
"CY099791","2330","Human","1 (PB1)","","Nicaragua","T","2010/07/08","Influenza B virus (B/Managua/1250.02/2010)","","","","","","c"
"CY099792","2358","Human","2 (PB2)","","Nicaragua","T","2010/07/08","Influenza B virus (B/Managua/1250.02/2010)","","","","","","c"
"CY100746","1150","Human","7 (MP)","","Nicaragua","T","2010/07/03","Influenza B virus (B/Managua/1312.01/2010)","","","","","","c"
"CY100747","1512","Human","6 (NA)","","Nicaragua","T","2010/07/03","Influenza B virus (B/Managua/1312.01/2010)","","","","","","c"
"CY100748","1762","Human","5 (NP)","","Nicaragua","T","2010/07/03","Influenza B virus (B/Managua/1312.01/2010)","","","","","","c"
"CY100752","2358","Human","2 (PB2)","","Nicaragua","T","2010/07/03","Influenza B virus (B/Managua/1312.01/2010)","","","","","","c"
"CY099793","1792","Human","4 (HA)","","Nicaragua","T","2010/07/22","Influenza B virus (B/Managua/1361.01/2010)","","","","","","c"
"CY099796","1762","Human","5 (NP)","","Nicaragua","T","2010/07/22","Influenza B virus (B/Managua/1361.01/2010)","","","","","","c"
"CY099800","2361","Human","2 (PB2)","","Nicaragua","T","2010/07/22","Influenza B virus (B/Managua/1361.01/2010)","","","","","","c"
"CY124901","1147","Human","7 (MP)","","Nicaragua","T","2008/06/17","Influenza B virus (B/Managua/1365.02/2008)","","","","","","c"
"CY124902","1528","Human","6 (NA)","","Nicaragua","T","2008/06/17","Influenza B virus (B/Managua/1365.02/2008)","","","","","","c"
"CY124906","2340","Human","1 (PB1)","","Nicaragua","T","2008/06/17","Influenza B virus (B/Managua/1365.02/2008)","","","","","","c"
"CY124907","2353","Human","2 (PB2)","","Nicaragua","T","2008/06/17","Influenza B virus (B/Managua/1365.02/2008)","","","","","","c"
"CY101008","1032","Human","8 (NS)","","Nicaragua","T","2010/08/22","Influenza B virus (B/Managua/148.02/2010)","","","","","","c"
"CY101011","2361","Human","2 (PB2)","","Nicaragua","T","2010/08/22","Influenza B virus (B/Managua/148.02/2010)","","","","","","c"
"CY100753","1792","Human","4 (HA)","","Nicaragua","T","2010/10/05","Influenza B virus (B/Managua/1499.02/2010)","","","","","","c"
"CY100755","1512","Human","6 (NA)","","Nicaragua","T","2010/10/05","Influenza B virus (B/Managua/1499.02/2010)","","","","","","c"
"CY100756","1762","Human","5 (NP)","","Nicaragua","T","2010/10/05","Influenza B virus (B/Managua/1499.02/2010)","","","","","","c"
"CY100757","1065","Human","8 (NS)","","Nicaragua","T","2010/10/05","Influenza B virus (B/Managua/1499.02/2010)","","","","","","c"
"CY100759","2330","Human","1 (PB1)","","Nicaragua","T","2010/10/05","Influenza B virus (B/Managua/1499.02/2010)","","","","","","c"
"CY100760","2358","Human","2 (PB2)","","Nicaragua","T","2010/10/05","Influenza B virus (B/Managua/1499.02/2010)","","","","","","c"
"CY100761","1795","Human","4 (HA)","","Nicaragua","T","2010/08/20","Influenza B virus (B/Managua/1504.03/2010)","","","","","","c"
"CY100762","1145","Human","7 (MP)","","Nicaragua","T","2010/08/20","Influenza B virus (B/Managua/1504.03/2010)","","","","","","c"
"CY100763","1512","Human","6 (NA)","","Nicaragua","T","2010/08/20","Influenza B virus (B/Managua/1504.03/2010)","","","","","","c"
"CY100764","1762","Human","5 (NP)","","Nicaragua","T","2010/08/20","Influenza B virus (B/Managua/1504.03/2010)","","","","","","c"
"CY100766","2254","Human","3 (PA)","","Nicaragua","T","2010/08/20","Influenza B virus (B/Managua/1504.03/2010)","","","","","","c"
"CY100767","2330","Human","1 (PB1)","","Nicaragua","T","2010/08/20","Influenza B virus (B/Managua/1504.03/2010)","","","","","","c"
